2024-12-24 	 19:41:44 	 f41fca6a-2ec5-46ba-9d9c-00c1f835f3bc	Request Method: GET 	 undefined	/
2024-12-24 	 19:41:44 	 550a6020-5405-415f-8fb0-dd577e5eece2	Request Method: GET 	 undefined	/css/style.css
2024-12-24 	 19:43:43 	 8e0aedbf-3b8d-4d2e-95a1-17e836218ec1	Request Method: GET 	 undefined	/
2024-12-24 	 19:43:43 	 9cd97cf8-0308-43f3-b110-80f7918c92dd	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:08:28 	 c3ca8533-bebe-4464-8125-b75c44b7936d	Request Method: GET 	 undefined	/
2024-12-25 	 19:08:29 	 23fab6e9-31d1-4d3a-813f-e73bb76add50	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:12:16 	 933484d0-80a8-4ed5-a563-95cf128a69c4	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:12:16 	 a939af53-b46b-480a-be58-02d4bae20167	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:25:01 	 7b21cfb7-539f-4724-8fd5-e8abede2b423	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:25:02 	 0ed24cdd-0ac9-469c-bf96-050b941a51bb	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:25:19 	 b9183db4-464f-4e7c-af2e-251499fbf348	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:25:19 	 07baeae3-0885-4f71-85cf-7e3034fa8ac0	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:26:11 	 49e0784d-15fe-4c78-9e3a-1c0e5c297f83	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:26:11 	 9e27a704-0fdc-4d16-bae1-c68c310010bf	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:28:10 	 767a76a6-b661-4ca9-99e5-5743e1f88389	Request Method: GET 	 undefined	/
2024-12-25 	 19:29:12 	 c3530daa-2207-4d08-8b3e-4b75bff9805b	Request Method: GET 	 undefined	/
2024-12-25 	 19:30:31 	 52461021-f199-474b-b784-4c6a0f1c8dc8	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:30:31 	 5d537788-4acb-4b93-a020-2845ccee1825	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:31:01 	 2b1ef5e2-bba9-4410-bf05-43139b853a7f	Request Method: OPTIONS 	 https://www.google.com	/
2024-12-25 	 19:31:01 	 bfa91cbe-050c-4aee-bfe3-caede45cf594	Request Method: GET 	 https://www.google.com	/
2024-12-25 	 19:31:14 	 f809f5a1-c563-46f6-992c-4cef58d11e1b	Request Method: GET 	 undefined	/
2024-12-25 	 19:31:50 	 b822c13a-0270-4f83-84c4-d1dff0e35f6f	Request Method: GET 	 undefined	/
2024-12-25 	 19:32:28 	 e9343d11-7c16-4680-8989-3079006e1c5f	Request Method: GET 	 undefined	/
2024-12-25 	 19:33:05 	 9638ef75-b5d6-4934-9c30-bd3f41897ded	Request Method: GET 	 undefined	/
2024-12-25 	 19:33:35 	 6d950264-3ffe-47be-afde-9d9b55985231	Request Method: GET 	 undefined	/
2024-12-25 	 19:33:45 	 46d4dff4-1690-431c-96de-a8b219fa92f3	Request Method: GET 	 undefined	/
2024-12-25 	 19:34:17 	 8333c1b0-4d44-4493-bf18-74cf348cbc92	Request Method: GET 	 undefined	/
2024-12-25 	 19:34:21 	 b616f21f-89af-41e1-9297-4c618733b091	Request Method: GET 	 undefined	/
2024-12-25 	 19:34:30 	 b69b5e24-c2d5-4ead-96fc-e51f156ac60d	Request Method: GET 	 undefined	/
2024-12-25 	 19:34:57 	 56148eb3-170c-476c-a58f-910c45e2c42f	Request Method: GET 	 undefined	/
2024-12-25 	 19:35:54 	 8e31e486-5692-4969-9870-38147025f370	Request Method: GET 	 undefined	/
2024-12-25 	 19:36:15 	 cc94f3fb-c8b9-40f0-a7ae-5592b2c28fc4	Request Method: GET 	 undefined	/
2024-12-25 	 19:37:35 	 ab10cf97-4b38-4786-8c08-65d2085f8ff5	Request Method: GET 	 undefined	/
2024-12-25 	 19:37:47 	 96a17308-b632-4d37-b110-721299007f60	Request Method: GET 	 undefined	/
2024-12-25 	 19:39:34 	 31d34bb3-7264-4652-8c77-225eef8fb0c4	Request Method: GET 	 undefined	/
2024-12-25 	 19:39:34 	 c82585e9-03f4-4dba-822e-c84a80e76541	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:45:14 	 1b0ccf1e-1348-46b4-ab03-b3caaa8782ac	Request Method: GET 	 undefined	/
2024-12-25 	 19:45:55 	 a054de2a-a625-4c6f-8d14-5df78359d1b1	Request Method: GET 	 undefined	/
2024-12-25 	 19:45:55 	 5b450582-67c2-443f-970d-b5358d6e41b8	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:46:57 	 de5da03d-7de5-4cf5-a0ce-c3a5e4211259	Request Method: GET 	 undefined	/dave
2024-12-25 	 19:46:57 	 6cf9ba6f-8f67-44fa-8f8e-6e86465b1adc	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:51:17 	 e8a2362f-6c53-448d-b0a7-cebe80840599	Request Method: GET 	 undefined	/dave
2024-12-25 	 19:51:17 	 998183bc-9700-40d7-a674-1fcd69bd64c6	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:56:44 	 feb34b89-345c-4d76-aca7-4bc1c50802e6	Request Method: GET 	 undefined	/subdir/index.html
2024-12-25 	 19:56:54 	 070d223f-9153-4f6b-8c12-cfbbd7d38351	Request Method: GET 	 undefined	/subdir
2024-12-25 	 19:58:10 	 beee75be-c888-4ed5-96ac-be64e7385db6	Request Method: GET 	 undefined	/subdir
2024-12-25 	 19:58:23 	 ede666f6-2aa1-4928-82b7-b8f3ec5c13e0	Request Method: GET 	 undefined	/subdir/test
2024-12-25 	 19:58:33 	 357eb2fc-ebd0-4a4c-8037-b29f6a8d5006	Request Method: GET 	 undefined	/subdir/test1
2024-12-25 	 19:58:34 	 01266816-0ee9-424e-8892-5020ca993590	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 19:58:57 	 74376578-6443-49e4-8e66-f294337fcdab	Request Method: GET 	 undefined	/subdir/test19
2024-12-25 	 19:58:57 	 f80e452c-ef82-4699-b21f-04e07348217f	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 20:00:23 	 748ad8ab-0b92-4763-9170-f5f9ab3a1a86	Request Method: GET 	 undefined	/subdir
2024-12-25 	 20:00:23 	 19fb2218-ada2-4b7c-a106-912b62ec9749	Request Method: GET 	 undefined	/subdir/
2024-12-25 	 20:00:31 	 6233c09f-0697-4f0f-a53c-78f79bbff381	Request Method: GET 	 undefined	/subdir/1
2024-12-25 	 20:00:31 	 5329e4a7-62ec-479e-9a3e-3ac2849da0c9	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 20:06:55 	 2ce13952-2138-471b-bbac-51ffc76a2fd4	Request Method: GET 	 undefined	/
2024-12-25 	 20:06:55 	 2b97ef82-2ef2-4558-8536-44436ea5b2b6	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 20:07:00 	 4c442eb1-ecc6-4620-b148-0aadb5a63956	Request Method: GET 	 undefined	/new-page
2024-12-25 	 20:07:00 	 d554ff48-ce59-4a24-8e13-144bef256628	Request Method: GET 	 undefined	/css/style.css
2024-12-25 	 20:07:00 	 4a004643-9ec3-4eee-aa84-4fa5d10520a3	Request Method: GET 	 undefined	/public/img/img1.jpg
2024-12-25 	 20:07:22 	 449ca762-5b76-427a-805d-3df38455c34e	Request Method: GET 	 undefined	/new-page.html
2024-12-25 	 20:07:22 	 a5613888-5e90-4040-8c6c-454746ab2fb3	Request Method: GET 	 undefined	/css/style.css
